month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202007,new jersey,nj,443000,0.0313,0.1285,31149,-0.0501,-0.3913,43.5,-0.275,-0.281,16472,-0.0079,0.0763,652,0.156,0.4954,5976,-0.0273,-0.5596,8825,0.1696,4.768,15.5,-0.7131,-0.6881,340,-0.4692,-0.533,642349,0.0161,0.1534,39974,-0.009,-0.2415,0.2833,0.0532,0.2534
202006,new jersey,nj,429549.5,0.0501,0.086,32792,-0.0097,-0.3623,60,-0.2,0.1321,16604,0.4033,-0.0444,564,0.7625,0.3056,6144,0.1788,-0.5662,7545,0.2986,3.4619,54.0273224,-0.3278,0.0805,640.5,-0.2552,-0.1104,632179,0.0552,0.1283,40337,0.0363,-0.2405,0.2301,0.0546,0.1972
202005,new jersey,nj,409050,0.0251,0.0502,33113,-0.016,-0.3443,75,0.1719,0.5464,11832,0.7798,-0.3968,320,0.4035,-0.2857,5212,0.4398,-0.6203,5810,1.5799,2.4338,80.375,0.0019,1.2077,860,-0.0138,0.4098,599098,8.00E-04,0.0744,38923,0.0841,-0.2543,0.1755,0.1085,0.142
202004,new jersey,nj,399050,-0.0023,0.064,33652,-0.0688,-0.2959,64,0.2929,0.3061,6648,-0.5264,-0.6698,228,-0.3214,-0.5043,3620,-0.4261,-0.6869,2252,-0.1315,0.5084,80.21875,0.1973,1.4401,872,0.1179,0.5352,598627,0.0218,0.0833,35904,-0.073,-0.2715,0.0669,-0.0048,0.0357
202003,new jersey,nj,399950,0.0254,0.1111,36137,0.024,-0.1883,49.5,-0.25,-0.1,14036,-0.0537,-0.2065,336,-0.3115,-0.2566,6308,-0.0734,-0.3354,2593,0.0863,0.8776,67,0.0388,2.0455,780,-0.0152,0.8056,585829,-0.0301,0.0799,38730,0.028,-0.1562,0.0718,0.0041,0.0407
202002,new jersey,nj,390049,0.0285,0.1144,35289,0.009,-0.1746,66,-0.2096,-0.0833,14832,0.1544,0.0134,488,0.0991,0.2323,6808,0.0806,-0.1673,2387,0.2285,1.2777,64.5,-0.179,,792,-0.119,,603999,0.0448,0.1543,37676,0.0205,-0.1398,0.0676,0.0121,0.0431
202001,new jersey,nj,379246,-1.00E-04,0.0993,34975,-0.0819,-0.1606,83.5,0.0637,0.0309,12848,0.8116,-0.1013,444,0.5634,0.1327,6300,0.3648,-0.2049,1943,-0.065,1.3438,78.5625,0.1114,1.3451,899,0.0527,0.516,578086,0.0524,0.1248,36918,-0.081,-0.1312,0.0556,0.001,0.0357
201912,new jersey,nj,379300,-0.0251,0.0839,38095,-0.1269,-0.1485,78.5,0.1894,0.0064,7092,-0.3541,-0.2141,284,-0.2111,-0.1839,4616,-0.4945,-0.3635,2078,-0.1295,1.5591,70.6875,0.0991,0.3464,854,0.0675,0.053,549290,-0.0086,0.061,40173,-0.1271,-0.1181,0.0545,-2.00E-04,0.0364
201911,new jersey,nj,389050,-0.0026,0.088,43633,-0.0729,-0.1091,66,0.1379,-0.0149,10980,-0.1967,-0.0973,360,-0.0217,-0.1262,9132,-0.2192,-0.165,2387,0.8766,1.6231,64.3125,-0.1917,0.2428,800,-0.1061,-0.0025,554028,-0.0055,0.0457,46020,-0.0479,-0.0775,0.0547,0.0277,0.0361
201910,new jersey,nj,390049.5,0.0014,0.0835,47062,-0.0425,-0.078,58,-0.0866,-0.1212,13668,-0.1744,-0.0934,368,0.0824,-0.2868,11696,-0.0741,-0.1423,1272,-0.0407,0.3446,79.5625,0.2807,0.56,895,0.0968,0.1187,557075,0.0095,0.0469,48334,-0.0424,-0.0704,0.027,0,0.0085
