month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202007,34005,"burlington, nj",299950,0.0263,0.1111,1011,-0.1461,-0.5472,40,-0.2233,-0.3443,656,-0.0409,-0.1458,32,0.1429,-0.2,276,-0.1882,-0.6425,281,0.0144,0.4264,146.8307593,0.0094,0.0636,1998,0.0275,0.0326,405603,0.0541,0.1476,1292,-0.1157,-0.4683,0.2779,0.044,0.1897
202007,34009,"cape may, nj",500000,-0.0244,0.148,1294,-0.1548,-0.433,87,-0.2162,-0.044,504,0.05,0,32,1.6667,0.3333,220,-0.0678,-0.4444,376,0.1291,10.0588,186.2805129,-0.0307,0.1076,1097.5,-0.0104,0.0975,946757,0.0351,0.2578,1670,-0.1041,-0.2789,0.2906,0.0731,0.2757
202007,34007,"camden, nj",225050,0.023,0.125,909,-0.1552,-0.6135,43.5,-0.2564,-0.2627,624,0.0331,-0.25,24,-0.25,0.5,220,-0.2143,-0.7291,226,0.0415,0.4125,127.2008189,0.0224,0.0846,1707,0.0012,0.0125,285252,0.0351,0.157,1135,-0.1222,-0.5482,0.2486,0.047,0.1806
202007,34025,"monmouth, nj",625000,0.0338,0.1692,2462,-0.0261,-0.3836,45,-0.28,-0.2437,1424,0.0028,0.1484,44,-0.3529,0.8333,524,-0.0224,-0.5254,2386,0.2155,112.619,185.0689165,0.0247,0.1028,1384,-0.0146,-0.0014,909645,0.0316,0.1934,4848,0.0795,0.2075,0.9691,0.1926,0.9639
202007,34001,"atlantic, nj",255000,0.0198,-0.0192,1867,-0.0959,-0.3337,98.5,-0.0574,0.2468,616,0.0922,-0.1585,48,0.5,0.0909,272,-0.1282,-0.5613,1130,0.219,9.2727,100.5248092,-0.0028,0.123,1046,-0.0132,-0.0019,440491,0.0338,0.027,2997,0.0017,0.0292,0.6052,0.1563,0.566
202007,34015,"gloucester, nj",231000,0.0324,0.0747,617,-0.1617,-0.598,44.5,-0.3258,-0.3358,452,0.1414,-0.0661,16,0.3333,-0.3333,144,-0.28,-0.7273,120,0.0619,0.3333,120.8082315,0.0129,0.0557,1821,0.025,-0.0063,265728,0.0236,0.0943,737,-0.1319,-0.5465,0.1945,0.041,0.1359
202007,34033,"salem, nj",159950,0.0663,0.138,249,-0.1916,-0.523,109.5,-0.0395,0.2033,68,-0.3929,-0.4138,4,0,-0.5,40,-0.0909,-0.7561,37,-0.0263,1.4667,94.78106353,0.0316,0.0534,1563,0.0525,-0.0164,198048,0.033,0.1361,286,-0.1734,-0.4674,0.1486,0.0252,0.1199
202007,34023,"middlesex, nj",421210,0.0222,0.0402,2137,-0.0106,-0.3893,34,-0.2688,-0.3267,1412,0.0444,0.0895,40,0.1111,0.6667,480,0.0811,-0.5257,683,0.1817,0.6379,171.329089,0.0114,,1193,0.0604,,476834,-0.2523,0.0456,2820,0.0299,-0.2799,0.3196,0.052,0.2004
202007,34035,"somerset, nj",588750,-0.0013,-0.007,1169,-0.006,-0.3358,39.5,-0.0482,-0.3361,620,-0.0774,0.1567,12,-0.25,0.5,268,0.3958,-0.4322,62,0.3478,0.2653,0,,,0,,,763309,0.0264,0.0548,1231,0.0074,-0.3195,0.053,0.0139,0.0252
202007,34019,"hunterdon, nj",547500,0.0234,0.0949,727,-0.0497,-0.3662,51,-0.2817,-0.2817,296,-0.0633,0.1746,0,-1,-1,136,0.0625,-0.5342,26,0.5294,0.625,0,,-1,0,,-1,690616,0.0459,0.1317,753,-0.0371,-0.3525,0.0358,0.0135,0.0218
202007,34013,"essex, nj",450000,0.0011,0.0662,1772,-0.0458,-0.3043,30,-0.0323,-0.3939,1128,-0.116,0.2478,44,0.5714,1.2,280,-0.0411,-0.4262,8,-0.1111,1,0,,,0,,,624370,0.0331,0.0552,1780,-0.0461,-0.3022,0.0045,-3.00E-04,0.0029
202007,34011,"cumberland, nj",155050,-0.0121,0.0371,401,-0.1504,-0.5836,75,-0.2424,0.0274,156,-0.1333,-0.4265,8,1,,84,0,-0.6866,137,0.0703,4.48,99.74545333,0.0256,0.1368,1408,-0.0178,-0.0056,213723,0.0167,0.2229,538,-0.1033,-0.4555,0.3416,0.0705,0.3157
202007,34041,"warren, nj",279500,0.0354,0.0219,369,-0.0186,-0.5287,35,-0.4068,-0.44,232,0.16,0,12,0.5,0.5,52,-0.2778,-0.75,4,-0.2,3,0,,,0,,,340149,0.0288,0.1202,373,-0.021,-0.5242,0.0108,-0.0025,0.0096
202007,34029,"ocean, nj",369050,0.0056,0.0856,4137,-0.0833,-0.4117,87.5,-0.1379,0.3258,1892,0.1884,0.015,132,0.7368,3.7143,580,-0.1808,-0.7059,2985,0.1628,31.0968,164.5347015,0.0137,0.1278,1512,0.001,0.0206,609751,0.0272,0.2284,7122,0.0059,-4.00E-04,0.7215,0.1527,0.7083
202007,34031,"passaic, nj",409750,0.0129,0.0781,1521,-0.03,-0.4033,33,-0.175,-0.3265,876,-0.0988,0.0429,32,0.3333,1.6667,312,0.1642,-0.4935,1,-0.5,,0,,,0,,,453779,0.0115,0.0671,1522,-0.0306,-0.4029,7.00E-04,-6.00E-04,7.00E-04
202007,34003,"bergen, nj",649975,-1.00E-04,0.0171,3693,0.0258,-0.2789,37.5,-0.1573,-0.359,1740,-0.1012,0.2358,32,-0.4286,0.1429,656,0.0314,-0.4246,9,-0.1818,,0,,,0,,,956548,0.0031,0.0292,3702,0.0252,-0.2771,0.0024,-6.00E-04,0.0024
202007,34039,"union, nj",449950,9.00E-04,0.0789,1164,-0.0218,-0.3906,32.5,-0.1216,-0.3434,724,-0.0372,0.0056,16,-0.2,-0.2,208,-0.037,-0.5094,25,0.0417,1.0833,0,,,0,,,602232,0.0028,0.0864,1189,-0.0206,-0.3814,0.0215,0.0013,0.0152
202007,34021,"mercer, nj",425050,0.0098,0.1305,953,-0.047,-0.4238,49,-0.305,-0.2097,500,0.0246,-0.0157,28,1.3333,1.3333,232,-0.0938,-0.536,313,0.1767,0.13,179.0472779,4.00E-04,-0.0075,1656,-0.0143,-0.0743,611194,0.0158,0.1388,1266,0,-0.3444,0.3284,0.0624,0.161
202007,34017,"hudson, nj",580050,0.0284,0.0851,1931,0.0978,-0.0369,35.5,0.0143,-0.3173,940,-0.0447,0.2842,4,-0.5,0,416,0.2683,0.1818,6,0,1,349.5553453,0.0694,0.1958,759,0.0195,0.0781,729180,0.0105,0.0935,1937,0.0975,-0.0354,0.0031,-3.00E-04,0.0016
202007,34037,"sussex, nj",304549.5,-0.0016,0.0684,899,-0.0635,-0.4155,47,-0.2167,-0.3139,460,0.1275,0.0952,20,0.25,4,132,0.1,-0.6333,4,0,1,0,,,0,,,408652,0.022,0.1395,903,-0.0633,-0.4136,0.0044,3.00E-04,0.0031
202007,48347,"nacogdoches, tx",275050,0.0837,0.2571,121,-0.1655,-0.3858,94,-0.0693,0.1534,40,-0.0909,-0.4118,0,,,16,-0.5556,-0.4286,88,0.1429,5.2857,108.8190738,0.006,0.0996,2490,0.0555,0.1857,351384,0.0633,0.2413,209,-0.0586,-0.0095,0.7273,0.1962,0.6562
202007,34027,"morris, nj",579500,0.0176,0.0555,1898,-0.0336,-0.3529,36.5,-0.0641,-0.3596,976,-0.1029,0.2079,24,0.5,1,400,-0.0741,-0.5169,6,0.2,5,0,,,0,,,732698,0.0405,0.0731,1904,-0.033,-0.3511,0.0032,6.00E-04,0.0028
202006,34007,"camden, nj",220000,0.023,0.0499,1076,-0.1323,-0.5431,58.5,-0.0859,0.0263,604,0.1103,-0.3229,32,1,-0.3333,280,-0.1463,-0.6569,217,0.3562,0.1015,124.4161921,-0.0047,0.0533,1705,0.0149,0.0029,275592,0.0433,0.1007,1293,-0.0764,-0.4933,0.2017,0.0726,0.118
202006,34023,"middlesex, nj",412050,0.0049,0.0101,2160,0.0286,-0.3723,46.5,-0.3357,-0.0313,1352,0.5794,-0.1058,36,1.25,0.5,444,0.2333,-0.5747,578,0.2675,0.338,169.39595,0.181,,1125,0.2556,,637765,0.2061,0.3903,2738,0.0712,-0.2931,0.2676,0.0504,0.142
202006,34033,"salem, nj",150000,0.0718,0.071,308,-0.0861,-0.4133,114,0.0179,0.4074,112,0.4737,-0.125,4,-0.5,0,44,-0.1538,-0.7556,38,0.2667,2.8,91.88124178,0.0212,0.0212,1485,-0.002,-0.0805,191728,0.0667,0.1002,346,-0.0572,-0.3533,0.1234,0.0344,0.1043
202006,34019,"hunterdon, nj",535000,0.0103,0.0701,765,0.0255,-0.3342,71,-0.1125,0.2456,316,0.549,0.0533,4,-0.5,0,128,0.1429,-0.5844,17,1.8333,-0.1905,0,,-1,0,,-1,660301,0.0251,0.0795,782,0.0399,-0.3316,0.0222,0.0142,0.0039
202006,34017,"hudson, nj",564050,0.0464,0.0255,1759,0.195,-0.1547,35,-0.4615,-0.2045,984,0.7324,0.3016,8,1,-0.3333,328,0.907,-0.2679,6,1,2,326.8553284,0.0712,0.057,744.5,7.00E-04,0.0129,721629,0.025,0.0678,1765,0.1966,-0.1527,0.0034,0.0014,0.0024
202006,34009,"cape may, nj",512500,0.027,0.1783,1531,-0.1073,-0.3477,111,0.099,0.2759,480,0.3636,0.0526,12,2,-0.625,236,0.1569,-0.4587,333,0.3537,6.5682,192.1749939,0.026,0.1338,1109,0.0269,0.1552,914622,0.0682,0.2374,1864,-0.0495,-0.2204,0.2175,0.0741,0.1988
202006,34037,"sussex, nj",305050,0.0201,0.0932,960,-0.0486,-0.3684,60,-0.2,-0.0769,408,0.186,-0.0642,16,1,0.3333,120,-0.2308,-0.6907,4,-0.3333,3,0,,,0,,,399848,0.0408,0.1337,964,-0.0502,-0.3662,0.0042,-0.0018,0.0035
202006,34041,"warren, nj",269950,0.0128,0.0033,376,-0.1512,-0.5173,59,-0.0781,0.0351,200,0.2821,-0.2063,8,1,,72,-0.2174,-0.64,5,0.25,0.6667,0,,,0,,,330632,0.0312,0.0988,381,-0.1477,-0.5128,0.0133,0.0043,0.0094
202006,34015,"gloucester, nj",223750,-0.0053,0.0405,736,-0.0914,-0.5371,66,-0.0704,0.1,396,0.1647,-0.2143,12,-0.4,-0.25,200,0,-0.6528,113,0.0463,0.0971,119.269452,0.0064,0.0364,1776.5,-0.0131,-0.0276,259590,0.0014,0.0738,849,-0.0752,-0.4985,0.1535,0.0202,0.0888
202006,34027,"morris, nj",569500,0.0079,0.0354,1964,0.0857,-0.3306,39,-0.4091,-0.1522,1088,0.271,0.0074,16,1,0.3333,432,0.3012,-0.5325,5,0,,0,,,0,,,704199,0.0199,0.0222,1969,0.0854,-0.3289,0.0025,-2.00E-04,0.0025
202006,34001,"atlantic, nj",250050,-0.0115,-0.0384,2065,-0.0931,-0.2662,104.5,0.1484,0.4122,564,0.175,-0.1557,32,0,-0.2,312,0.2,-0.4621,927,0.2664,7.8286,100.8068719,-0.0024,0.1449,1060,0,0.0192,426099,0.0088,-0.0101,2992,-0.0056,0.025,0.4489,0.1274,0.4116
202006,34035,"somerset, nj",589500,0.0343,-0.0176,1176,0.0444,-0.3393,41.5,-0.3806,-0.1531,672,0.5,0.1275,16,0.3333,3,192,0.1707,-0.6,46,0.4839,-0.08,0,,,0,,,743684,0.0163,-0.0156,1222,0.0562,-0.3322,0.0391,0.0116,0.011
202006,34025,"monmouth, nj",604549.5,0.0424,0.1195,2528,-0.0198,-0.3546,62.5,-0.1883,0.2019,1420,0.3004,0.1234,68,1.125,0.8889,536,0.3267,-0.5578,1963,0.3766,80.7917,180.6006598,-0.0016,0.0536,1404.5,4.00E-04,-0.0116,881795,0.0543,0.137,4491,0.1213,0.1396,0.7765,0.2236,0.7704
202006,34011,"cumberland, nj",156950,-0.0194,0.082,472,-0.1495,-0.4995,99,0.1512,0.2857,180,0.5,-0.1818,4,0,,84,-0.25,-0.6818,128,0.1429,3.2667,97.25497904,-0.0264,0.122,1433.5,0.0024,0.021,210220,0.017,0.3014,600,-0.1004,-0.3834,0.2712,0.0694,0.2394
202006,34039,"union, nj",449550,0.0216,0.0702,1190,-0.0222,-0.3872,37,-0.4127,-0.1591,752,0.2966,-0.1005,20,0.6667,0.6667,216,0.5429,-0.5304,24,0.1429,0.2,0,,,0,,,600530,0.0287,0.0598,1214,-0.0194,-0.3812,0.0202,0.0029,0.0099
202006,48347,"nacogdoches, tx",253800,0.0802,0.2408,145,-0.0705,-0.1761,101,0.086,0.1477,44,0.1,0.1,0,,,36,0.5,0.5,77,0.1846,2.6667,108.1730769,0.0016,0.1021,2359,0.041,0.1018,330472,0.0488,0.184,222,0.0045,0.1269,0.531,0.1144,0.4117
202006,34021,"mercer, nj",420930,0.0527,0.0932,1000,0.004,-0.3816,70.5,-0.06,0.2589,488,0.4186,-0.1223,12,0.5,0,256,0.3333,-0.5152,266,0.2315,-0.1713,178.9828463,0.0173,-0.0174,1680,0.0072,-0.0667,601674,0.0367,0.1026,1266,0.0446,-0.3467,0.266,0.0491,0.0675
202006,34029,"ocean, nj",367000,0.0165,0.0824,4513,-0.0936,-0.3631,101.5,0.0464,0.5615,1592,0.1775,-0.2616,76,1.7143,0.4615,708,0.0727,-0.6495,2567,0.2683,26.6022,162.3075434,0.0178,0.1042,1510.5,0.0023,0.0403,593596,0.0387,0.2017,7080,0.011,-0.0138,0.5688,0.1623,0.5557
202006,34003,"bergen, nj",650050,2.00E-04,0.0125,3600,0.0936,-0.3086,44.5,-0.3904,-0.0918,1936,0.6187,0.1152,56,1.8,1.3333,636,0.3475,-0.5031,11,0.1,,0,,,0,,,953547,-0.0056,0.0334,3611,0.0936,-0.3065,0.0031,0,0.0031
202006,34031,"passaic, nj",404550,0.0266,0.0787,1568,0.0703,-0.3839,40,-0.4286,-0.0909,972,0.7357,-0.0433,24,1,2,268,0.2642,-0.5705,2,-0.6,1,0,,,0,,,448621,0.0373,0.0774,1570,0.068,-0.3833,0.0013,-0.0021,9.00E-04
202006,34013,"essex, nj",449500,0.0477,0.0217,1857,0.1087,-0.2786,31,-0.4833,-0.2791,1276,0.6443,0.1154,28,0.4,0.1667,292,0.3036,-0.568,9,0.8,0.8,0,,,0,,,604369,0.0427,-0.008,1866,0.1107,-0.2765,0.0048,0.0019,0.0029
202006,34005,"burlington, nj",292250,0.0439,0.0826,1184,-0.121,-0.465,51.5,-0.2197,-0.0804,684,0.2391,-0.1818,28,-0.125,0.1667,340,-0.023,-0.5573,277,0.3645,0.2884,145.4570837,0.0165,0.0606,1944.5,0.0096,0.0107,384778,0.0448,0.1186,1461,-0.0574,-0.3983,0.234,0.0832,0.1368
