COUNTY,FIPSSTCO,REGION
ATLANTIC,34001,COASTAL
BERGEN,34003,NORTHEASTERN
BURLINGTON,34005,SOUTHERN
CAMDEN,34007,SOUTHERN
CAPE MAY,34009,COASTAL
CUMBERLAND,34011,SOUTHERN
ESSEX,34013,NORTHEASTERN
GLOUCESTER,34015,SOUTHERN
HUDSON,34017,NORTHEASTERN
HUNTERDON,34019,CENTRAL
MERCER,34021,CENTRAL
MONMOUTH,34025,COASTAL
OCEAN,34029,COASTAL
PASSAIC,34031,NORTHEASTERN
SALEM,34033,SOUTHERN
SOMERSET,34035,CENTRAL
SUSSEX,34037,NORTHWESTERN
UNION,34039,NORTHEASTERN
WARREN,34041,NORTHWESTERN
MORRIS,34027,NORTHEASTERN
MIDDLESEX,34023,CENTRAL
